Date,Open,High,Low,Close,Volume
2024-03-22,197.18,202.29,193.33,200.48,9173
2024-03-23,169.17,172.08,160.45,168.38,7904
2024-03-24,133.62,143.36,130.64,134.03,5480
2024-03-25,168.64,170.68,167.62,168.65,3307
2024-03-26,197.73,205.38,194.05,196.87,5610
2024-03-27,167.63,170.4,161.0,163.34,4017
2024-03-28,111.98,119.43,107.52,113.0,2326
2024-03-29,142.27,151.07,140.29,150.78,8027
2024-03-30,144.83,148.54,135.94,142.68,9628
2024-03-31,101.65,107.2,92.49,94.48,7087
2024-04-01,174.1,182.46,165.96,174.08,8636
2024-04-02,176.62,182.0,175.33,180.17,7859
2024-04-03,167.59,170.46,158.5,163.44,2140
2024-04-04,148.42,157.41,145.65,151.69,1528
2024-04-05,134.05,138.92,132.84,135.07,9902
2024-04-06,137.92,139.99,132.31,134.86,1335
2024-04-07,115.5,123.2,114.42,114.64,4424
2024-04-08,120.04,125.56,116.29,125.29,6367
2024-04-09,165.93,174.19,162.72,167.11,5585
2024-04-10,175.46,184.51,169.21,170.44,9546
2024-04-11,139.17,143.9,135.59,139.19,9466
2024-04-12,176.76,182.19,173.7,180.57,6967
2024-04-13,167.66,171.66,164.86,166.75,2813
2024-04-14,121.61,130.92,120.31,129.08,5172
2024-04-15,101.31,108.68,98.26,100.61,4192
2024-04-16,183.65,187.48,180.27,183.89,4597
2024-04-17,121.52,122.89,117.47,119.82,3412
2024-04-18,125.5,130.75,122.54,124.96,4225
2024-04-19,119.7,127.51,117.51,122.38,3779
2024-04-20,107.74,109.17,102.43,105.94,4183
2024-04-21,143.58,146.87,140.32,145.51,2531
2024-04-22,180.08,184.34,178.96,181.03,1812
2024-04-23,171.94,176.87,166.98,173.1,7250
2024-04-24,187.87,191.16,178.92,185.44,5292
2024-04-25,198.7,202.96,188.98,199.8,5984
2024-04-26,194.68,195.86,192.1,193.02,6573
2024-04-27,187.02,195.85,180.05,187.28,8642
2024-04-28,171.51,179.29,169.3,175.15,5207
2024-04-29,162.0,165.9,159.99,163.2,1193
2024-04-30,138.83,145.18,130.11,132.12,7983
2024-05-01,159.91,166.93,152.1,161.99,7842
2024-05-02,113.51,115.85,110.35,113.75,5700
2024-05-03,120.26,127.32,114.62,121.7,7550
2024-05-04,137.29,138.61,135.72,136.06,1000
2024-05-05,173.6,180.92,169.32,171.04,6095
2024-05-06,172.83,174.74,164.98,170.34,4913
2024-05-07,144.63,153.48,136.53,145.5,4574
2024-05-08,193.18,196.96,189.72,190.41,7717
2024-05-09,162.91,168.32,159.01,160.15,4607
2024-05-10,110.23,116.16,103.72,104.86,2588
2024-05-11,121.17,124.84,114.39,118.32,3653
2024-05-12,153.7,157.38,144.49,151.86,9428
2024-05-13,139.26,143.83,129.36,135.33,7924
2024-05-14,195.59,202.65,186.11,186.85,8148
2024-05-15,183.19,185.73,180.08,181.54,9328
2024-05-16,145.17,154.6,137.97,149.39,7691
2024-05-17,116.11,123.29,106.9,111.94,9363
2024-05-18,194.54,196.53,188.92,190.48,8524
2024-05-19,169.25,175.95,160.46,160.73,1385
2024-05-20,196.3,199.61,193.23,195.53,1014
2024-05-21,125.32,129.35,122.61,129.05,3745
2024-05-22,127.46,134.56,124.92,129.04,3201
2024-05-23,123.5,126.61,117.85,121.61,6809
2024-05-24,151.85,158.21,145.57,151.0,5617
2024-05-25,138.12,142.61,130.74,132.46,7911
2024-05-26,115.93,119.34,113.97,114.88,1825
2024-05-27,123.57,126.11,121.07,125.84,8361
2024-05-28,175.02,180.28,172.64,175.21,8589
2024-05-29,100.99,110.37,96.21,101.24,5491
2024-05-30,152.22,154.29,147.1,151.87,7837
2024-05-31,102.48,111.86,92.55,96.29,1936
2024-06-01,143.56,144.92,141.34,142.51,5839
2024-06-02,115.1,117.23,109.42,109.7,4367
2024-06-03,198.61,204.35,195.28,197.31,2357
2024-06-04,167.28,170.47,159.84,163.85,2470
2024-06-05,120.01,121.36,115.43,118.34,8021
2024-06-06,136.47,141.79,132.29,137.86,4819
2024-06-07,135.74,143.55,129.48,133.71,2199
2024-06-08,130.19,136.91,128.97,131.85,3101
2024-06-09,121.21,130.41,119.34,126.54,2176
2024-06-10,165.35,175.21,161.87,169.49,3401
2024-06-11,143.52,152.56,136.24,151.8,9047
2024-06-12,172.06,180.74,163.91,164.55,6071
2024-06-13,138.81,144.69,129.01,143.3,9559
2024-06-14,186.81,193.25,180.68,185.21,1846
2024-06-15,118.05,123.27,114.21,120.6,6230
2024-06-16,158.51,159.72,153.42,157.61,1505
2024-06-17,136.41,144.09,131.57,141.86,8537
2024-06-18,103.03,109.69,101.3,107.67,1894
2024-06-19,170.29,180.05,166.85,166.86,3251
2024-06-20,150.31,152.66,147.51,152.55,1019
2024-06-21,158.55,162.94,153.78,156.59,6791
2024-06-22,121.23,128.07,119.52,119.89,8939
2024-06-23,164.6,174.46,158.83,168.53,6481
2024-06-24,191.91,193.48,182.66,191.12,9372
2024-06-25,164.29,166.36,157.68,160.73,9642
2024-06-26,156.61,163.21,147.46,151.56,9605
2024-06-27,145.15,150.85,136.28,139.14,8101
2024-06-28,144.53,148.35,143.03,148.14,8632
2024-06-29,164.93,171.17,160.34,164.26,3755
2024-06-30,153.97,160.56,150.17,153.96,4283
2024-07-01,118.1,124.89,114.03,117.09,4162
2024-07-02,192.18,193.75,183.7,186.69,9728
2024-07-03,184.93,192.1,181.86,185.99,5399
2024-07-04,180.86,183.94,177.6,183.5,6455
2024-07-05,108.62,118.49,104.25,116.11,9890
2024-07-06,137.88,143.8,135.1,136.62,1351
2024-07-07,174.46,179.77,173.36,177.37,9002
2024-07-08,154.23,162.41,144.98,147.25,7878
2024-07-09,176.51,186.51,171.65,183.67,8517
2024-07-10,141.78,144.64,132.06,135.3,8823
2024-07-11,134.51,138.75,130.21,134.55,5212
2024-07-12,131.82,134.74,127.84,129.68,9086
2024-07-13,167.14,170.66,158.69,170.1,9208
2024-07-14,174.71,179.28,172.98,176.61,8576
2024-07-15,132.51,138.23,129.19,133.37,5628
2024-07-16,169.13,175.35,165.75,170.56,8873
2024-07-17,101.52,103.86,98.89,102.43,7182
2024-07-18,177.01,181.06,174.02,174.57,7542
2024-07-19,135.12,137.91,126.86,128.22,5060
2024-07-20,179.28,182.24,177.98,179.67,1138
2024-07-21,139.16,148.44,129.62,141.17,6195
2024-07-22,145.4,148.64,135.87,146.51,8063
2024-07-23,189.15,190.46,182.5,183.84,8661
2024-07-24,196.38,202.74,193.43,200.94,9908
2024-07-25,147.07,155.09,141.39,154.72,3111
2024-07-26,150.17,159.36,143.76,149.48,8418
2024-07-27,153.3,160.7,143.41,153.91,1164
2024-07-28,124.19,130.59,116.94,117.88,7909
2024-07-29,130.65,133.62,125.09,130.48,9909
2024-07-30,185.82,194.05,175.82,189.72,2645
2024-07-31,152.75,161.33,144.41,158.47,6539
2024-08-01,198.18,202.49,193.3,199.67,6506
2024-08-02,110.86,115.44,102.72,106.59,9110
2024-08-03,177.08,184.38,172.36,180.99,6240
2024-08-04,197.67,202.36,196.13,202.17,3448
2024-08-05,144.35,154.04,134.65,143.5,6129
2024-08-06,199.82,201.25,195.58,199.15,8240
2024-08-07,126.98,133.54,119.57,127.01,8137
2024-08-08,145.22,155.17,137.82,142.66,4077
2024-08-09,134.66,143.53,128.98,135.41,7825
2024-08-10,114.93,119.57,108.91,114.26,6017
2024-08-11,106.35,113.83,102.11,108.78,3817
2024-08-12,142.5,150.72,134.26,150.21,6700
2024-08-13,160.05,164.58,158.59,159.24,1792
2024-08-14,150.85,153.99,146.34,148.05,8587
2024-08-15,149.66,159.2,147.88,152.67,2375
2024-08-16,158.38,167.89,156.23,166.35,9079
2024-08-17,118.94,125.37,109.13,113.14,1826
2024-08-18,170.53,179.48,165.16,176.73,7263
2024-08-19,150.37,155.7,146.84,148.64,8944
2024-08-20,140.95,145.32,132.62,134.96,1078
2024-08-21,151.54,158.59,142.42,146.12,1410
2024-08-22,179.17,184.92,176.63,178.61,7721
2024-08-23,166.39,169.92,158.03,168.95,8734
2024-08-24,195.38,198.65,194.21,198.28,5591
2024-08-25,183.44,192.68,178.06,189.59,6939
2024-08-26,167.2,170.17,159.03,161.42,7871
2024-08-27,111.36,115.56,106.68,108.09,9031
2024-08-28,174.73,177.39,165.42,169.38,4286
2024-08-29,171.17,174.76,163.25,170.62,4812
2024-08-30,150.21,151.39,144.44,151.32,8444
2024-08-31,190.9,196.84,188.33,194.43,3869
2024-09-01,132.02,137.77,126.6,131.05,5830
2024-09-02,172.87,177.6,170.03,176.12,5283
2024-09-03,144.88,148.61,142.71,148.07,5202
2024-09-04,129.56,137.95,124.21,137.58,6275
2024-09-05,101.52,108.43,93.55,95.57,6794
2024-09-06,185.96,189.41,184.92,186.37,4552
2024-09-07,105.79,111.69,98.97,102.31,3050
2024-09-08,166.76,174.75,163.16,170.52,1762
2024-09-09,150.33,155.3,140.7,145.5,6843
2024-09-10,113.62,116.56,110.11,114.15,3713
2024-09-11,131.9,135.98,129.16,134.33,7778
2024-09-12,114.12,120.8,105.68,120.11,8475
2024-09-13,159.99,168.59,156.66,166.67,4386
2024-09-14,103.4,111.17,100.33,103.0,2463
2024-09-15,198.55,200.74,195.88,196.16,6000
2024-09-16,134.41,136.89,132.4,135.74,3226
2024-09-17,183.46,186.02,176.42,181.04,3449
2024-09-18,176.03,184.83,168.06,171.32,8275
2024-09-19,152.38,156.1,142.76,145.04,1677
2024-09-20,100.02,105.45,93.84,97.36,6427
2024-09-21,141.03,147.71,134.24,142.44,4174
2024-09-22,154.82,162.14,152.69,153.44,3261
2024-09-23,183.13,189.68,173.59,185.25,2514
2024-09-24,137.97,144.46,134.58,141.07,4862
2024-09-25,178.93,181.98,170.95,176.47,8885
2024-09-26,105.49,114.79,104.22,106.89,3903
2024-09-27,136.44,142.35,127.82,128.45,1584
2024-09-28,146.47,153.33,142.38,144.83,3432
2024-09-29,174.17,179.92,165.07,173.62,4990
2024-09-30,125.8,131.23,120.53,122.92,9914
2024-10-01,159.93,169.27,153.51,169.03,9764
2024-10-02,128.55,134.96,122.73,133.25,9353
2024-10-03,156.68,163.53,151.31,152.3,2821
2024-10-04,100.41,105.0,92.39,94.57,5286
2024-10-05,150.27,158.16,148.75,150.94,3858
2024-10-06,119.26,125.51,116.54,121.29,5503
2024-10-07,196.59,202.32,192.96,199.02,3380
2024-10-08,181.04,186.82,171.73,179.35,8417
2024-10-09,175.09,184.88,167.74,181.1,4938
2024-10-10,160.41,165.58,153.62,159.9,5780
2024-10-11,133.99,137.97,130.31,132.85,5009
2024-10-12,132.54,136.38,126.53,136.0,5159
2024-10-13,184.93,187.03,182.59,185.3,9229
2024-10-14,152.96,156.66,149.8,154.86,8231
2024-10-15,193.98,195.99,189.02,191.62,9674
2024-10-16,199.11,209.02,192.33,198.14,7806
2024-10-17,115.41,116.45,113.59,115.62,4366
2024-10-18,144.48,152.36,137.64,143.96,6753
2024-10-19,133.96,141.37,130.59,135.68,8510
2024-10-20,128.72,133.14,125.24,125.91,5951
2024-10-21,183.65,186.46,180.84,185.31,5746
2024-10-22,150.54,156.7,144.74,145.33,9282
2024-10-23,179.41,184.68,172.72,177.21,7434
2024-10-24,118.23,122.09,113.37,121.12,5711
2024-10-25,142.07,151.98,133.05,136.49,9458
2024-10-26,102.93,108.08,95.01,99.61,5647
